perturbation,sentence,helpful_words
2-negation-original,"A won the competition while B did not, so A does not find it harder to be happy than B","['find', 'happy', 'than', 'be']"
2-negation-asymmetric_premise,"B won the competition while A did not, so A does not find it easier to be happy than B","['happy', 'find']"
2-negation-asymmetric_conclusion,"A won the competition while B did not, so B does not find it easier to be happy than A","['than', 'happy', 'be']"
2-antonym-original,"A won the competition while B did not, so A finds it harder to be sad than B","['sad', 'it', 'finds', '[MASK]']"
2-antonym-asymmetric_premise,"B won the competition while A did not, so A finds it easier to be sad than B","['sad', 'finds', 'than']"
2-antonym-asymmetric_conclusion,"A won the competition while B did not, so B finds it easier to be sad than A","['than', 'sad']"
2-paraphrase-original,"A won the competition while B did not, so A finds it easier to feel happiness than B","['happiness', 'finds', 'feel', '[MASK]']"
2-paraphrase-asymmetric_premise,"B won the competition while A did not, so A finds it harder to feel happiness than B","['than', 'finds']"
2-paraphrase-asymmetric_conclusion,"A won the competition while B did not, so B finds it harder to feel happiness than A","['happiness', 'than', 'feel', '[MASK]']"
2-paraphrase_inversion-original,"A won the competition while B did not, so A is frowning less than B","['frowning', 'than', 'won', 'is', '[MASK]']"
2-paraphrase_inversion-asymmetric_premise,"B won the competition while A did not, so A is frowning more than B","['frowning', 'competition', 'is']"
2-paraphrase_inversion-asymmetric_conclusion,"A won the competition while B did not, so B is frowning more than A","['frowning', '[MASK]', 'while', 'is']"
2-negation_antonym-original,"A won the competition while B did not, so A does not find it easier to be sad than B","['find', 'sad', 'does']"
2-negation_antonym-asymmetric_premise,"B won the competition while A did not, so A does not find it harder to be sad than B","['sad', 'find', '[MASK]']"
2-negation_antonym-asymmetric_conclusion,"A won the competition while B did not, so B does not find it harder to be sad than A","['sad', '[MASK]', 'be', 'find']"
2-negation_paraphrase-original,"A won the competition while B did not, so A does not find it harder to feel happiness than B","['happiness', 'feel', 'find']"
2-negation_paraphrase-asymmetric_premise,"B won the competition while A did not, so A does not find it easier to feel happiness than B","['happiness', 'to', 'find']"
2-negation_paraphrase-asymmetric_conclusion,"A won the competition while B did not, so B does not find it easier to feel happiness than A","['than', '[MASK]', 'happiness', 'not']"
2-negation_paraphrase_inversion-original,"A won the competition while B did not, so A isn't frowning more than B","['frowning', 'isn']"
2-negation_paraphrase_inversion-asymmetric_premise,"B won the competition while A did not, so A isn't frowning less than B","['frowning', 't', 'than']"
2-negation_paraphrase_inversion-asymmetric_conclusion,"A won the competition while B did not, so B isn't frowning less than A","['frowning', 'than', 't', 'isn']"
3-original-original,"A is able to concentrate more than B, so A finds it easier to be productive than B","['productive', 'it', 'than']"
3-original-asymmetric_premise,"B is able to concentrate more than A, so A finds it harder to be productive than B","['productive', 'finds', 'than']"
3-original-asymmetric_conclusion,"A is able to concentrate more than B, so B finds it harder to be productive than A","['productive', 'able', 'it', '[MASK]']"
3-negation-original,"A is able to concentrate more than B, so A does not find it harder to be productive than B","['productive', 'find', '[MASK]']"
3-negation-asymmetric_premise,"B is able to concentrate more than A, so A does not find it easier to be productive than B","['productive', 'find', '[MASK]']"
3-negation-asymmetric_conclusion,"A is able to concentrate more than B, so B does not find it easier to be productive than A","['productive', 'than', 'find']"
3-antonym-original,"A is able to concentrate more than B, so A finds it harder to be unproductive than B","['finds', '[MASK]', 'than', '##uctive']"
3-antonym-asymmetric_premise,"B is able to concentrate more than A, so A finds it easier to be unproductive than B","['##uctive', 'than', 'finds']"
3-antonym-asymmetric_conclusion,"A is able to concentrate more than B, so B finds it easier to be unproductive than A","['finds', '##uctive', 'it', 'be']"
3-paraphrase-original,"A is able to concentrate more than B, so A has a better ability to work than B","['ability', 'concentrate', 'work']"
3-paraphrase-asymmetric_premise,"B is able to concentrate more than A, so A has a worse ability to work than B","['concentrate', 'ability']"
3-paraphrase-asymmetric_conclusion,"A is able to concentrate more than B, so B has a worse ability to work than A","['ability', 'has', 'work', '[MASK]', 'than']"
3-paraphrase_inversion-original,"A is able to concentrate more than B, so A wastes less time than B","['waste', 'time', 'than']"
3-paraphrase_inversion-asymmetric_premise,"B is able to concentrate more than A, so A wastes more time than B","['waste', 'so', 'time']"
3-paraphrase_inversion-asymmetric_conclusion,"A is able to concentrate more than B, so B wastes more time than A","['waste', 'concentrate']"
3-negation_antonym-original,"A is able to concentrate more than B, so A does not find it easier to be unproductive than B",['##uctive']
3-negation_antonym-asymmetric_premise,"B is able to concentrate more than A, so A does not find it harder to be unproductive than B","['##uctive', 'find']"
3-negation_antonym-asymmetric_conclusion,"A is able to concentrate more than B, so B does not find it harder to be unproductive than A","['##uctive', 'find', '[MASK]', 'it']"
3-negation_paraphrase-original,"A is able to concentrate more than B, so A does not have a worse ability to work than B","['work', 'concentrate', 'ability']"
3-negation_paraphrase-asymmetric_premise,"B is able to concentrate more than A, so A does not have a better ability to work than B","['concentrate', 'ability']"
3-negation_paraphrase-asymmetric_conclusion,"A is able to concentrate more than B, so B does not have a better ability to work than A","['ability', 'concentrate']"
3-negation_paraphrase_inversion-original,"A is able to concentrate more than B, so A does not waste more time than B","['time', 'waste', 'than', 'not']"
3-negation_paraphrase_inversion-asymmetric_premise,"B is able to concentrate more than A, so A does not waste less time than B","['waste', 'than', '[MASK]']"
3-negation_paraphrase_inversion-asymmetric_conclusion,"A is able to concentrate more than B, so B does not waste less time than A","['[MASK]', 'than', 'does', 'waste']"
4-original-original,"A bullies people while B does not, so A is less kind than B","['kind', '[MASK]']"
4-original-asymmetric_premise,"B bullies people while A does not, so A is more kind than B","['kind', 'not', 'than']"
4-original-asymmetric_conclusion,"A bullies people while B does not, so B is more kind than A","['kind', '[MASK]', 'than']"
4-negation-original,"A bullies people while B does not, so A isn't more kind than B","['kind', 'than', 'so', 't']"
4-negation-asymmetric_premise,"B bullies people while A does not, so A isn't less kind than B","['kind', '[MASK]', 'than']"
4-negation-asymmetric_conclusion,"A bullies people while B does not, so B isn't less kind than A","['kind', 'than']"
4-antonym-original,"A bullies people while B does not, so A is more mean than B","['than', 'mean', 'is']"
4-antonym-asymmetric_premise,"B bullies people while A does not, so A is less mean than B","['is', 'mean', '[MASK]']"
4-antonym-asymmetric_conclusion,"A bullies people while B does not, so B is less mean than A","['mean', 'is', 'so', 'than']"
4-paraphrase-original,"A bullies people while B does not, so A cares less about people than B","['[MASK]', 'bull', 'about', 'than', 'cares']"
4-paraphrase-asymmetric_premise,"B bullies people while A does not, so A cares more about people than B","['cares', '[MASK]', 'people', 'than']"
4-paraphrase-asymmetric_conclusion,"A bullies people while B does not, so B cares more about people than A","['cares', '[MASK]', 'people', 'about']"
4-paraphrase_inversion-original,"A bullies people while B does not, so A is a more cruel person than B","['cruel', 'so', 'person']"
4-paraphrase_inversion-asymmetric_premise,"B bullies people while A does not, so A is a less cruel person than B","['cruel', 'people']"
4-paraphrase_inversion-asymmetric_conclusion,"A bullies people while B does not, so B is a less cruel person than A","['cruel', 'person', '[MASK]']"
4-negation_antonym-original,"A bullies people while B does not, so A isn't less mean than B","['mean', 't']"
4-negation_antonym-asymmetric_premise,"B bullies people while A does not, so A isn't more mean than B","['than', 'mean', 'isn', 't']"
4-negation_antonym-asymmetric_conclusion,"A bullies people while B does not, so B isn't more mean than A","['than', 't', 'mean']"
4-negation_paraphrase-original,"A bullies people while B does not, so A does not care more about people than B","['care', 'about', 'than', 'does', 'people']"
4-negation_paraphrase-asymmetric_premise,"B bullies people while A does not, so A does not care less about people than B","['care', '[MASK]', 'about']"
4-negation_paraphrase-asymmetric_conclusion,"A bullies people while B does not, so B does not care less about people than A","['care', '[MASK]', 'not']"
4-negation_paraphrase_inversion-original,"A bullies people while B does not, so A isn't a less cruel person than B","['[MASK]', 'cruel']"
4-negation_paraphrase_inversion-asymmetric_premise,"B bullies people while A does not, so A isn't a more cruel person than B","['cruel', '[MASK]', 'than', 'person']"
4-negation_paraphrase_inversion-asymmetric_conclusion,"A bullies people while B does not, so B isn't a more cruel person than A","['cruel', 't', 'a', '[MASK]']"
5-original-original,"A is B's boss, so A commands more respect than B","['commands', 'so', 'boss', 'respect']"
5-original-asymmetric_premise,"B is A's boss, so A commands less respect than B","['respect', 'commands', 'boss', '[MASK]', 'is']"
5-original-asymmetric_conclusion,"A is B's boss, so B commands less respect than A","['than', 'respect', '[MASK]', 'commands']"
5-negation-original,"A is B's boss, so A does not command less respect than B","['than', 'command', 'respect', '[MASK]']"
5-negation-asymmetric_premise,"B is A's boss, so A does not command more respect than B","['respect', 'command', 'than']"
5-negation-asymmetric_conclusion,"A is B's boss, so B does not command more respect than A","['command', 'boss', 'respect']"
5-antonym-original,"A is B's boss, so A commands less disrespect than B","['commands', 'than', '##pect']"
5-antonym-asymmetric_premise,"B is A's boss, so A commands more disrespect than B","['commands', 'than', '##pect', '##res']"
5-antonym-asymmetric_conclusion,"A is B's boss, so B commands more disrespect than A","['commands', '##res', '##pect']"
5-paraphrase-original,"A is B's boss, so A has earned more respect than B","['earned', '[MASK]', 'boss', 'respect']"
5-paraphrase-asymmetric_premise,"B is A's boss, so A has earned less respect than B","['respect', '[MASK]', 'earned', 'than']"
5-paraphrase-asymmetric_conclusion,"A is B's boss, so B has earned less respect than A","['earned', 'respect', 'boss']"
5-paraphrase_inversion-original,"A is B's boss, so A should be disrespected less than B","['##pect', 'than']"
5-paraphrase_inversion-asymmetric_premise,"B is A's boss, so A should be disrespected more than B","['##pect', 'than', 'is']"
5-paraphrase_inversion-asymmetric_conclusion,"A is B's boss, so B should be disrespected more than A","['##res', 'than']"
5-negation_antonym-original,"A is B's boss, so A does not command more disrespect than B","['command', 'boss', 'so']"
5-negation_antonym-asymmetric_premise,"B is A's boss, so A does not command less disrespect than B","['command', 'than', '##pect']"
5-negation_antonym-asymmetric_conclusion,"A is B's boss, so B does not command less disrespect than A","['boss', '##pect', 'command', '[MASK]', '##res']"
5-negation_paraphrase-original,"A is B's boss, so A has not earned less respect than B","['respect', 'than', 'earned']"
5-negation_paraphrase-asymmetric_premise,"B is A's boss, so A has not earned more respect than B","['earned', 'respect', 'not']"
5-negation_paraphrase-asymmetric_conclusion,"A is B's boss, so B has not earned more respect than A","['respect', '[MASK]', 'than', 'earned']"
5-negation_paraphrase_inversion-original,"A is B's boss, so A should not be disrespected more than B","['than', '[MASK]']"
5-negation_paraphrase_inversion-asymmetric_premise,"B is A's boss, so A should not be disrespected less than B","['than', '##pect', '##res', '[MASK]']"
5-negation_paraphrase_inversion-asymmetric_conclusion,"A is B's boss, so B should not be disrespected less than A","['##res', 'should', '[MASK]', '##ed']"
6-original-original,"A has more work than B, so A finds it harder to be at ease than B","['finds', 'ease', 'be']"
6-original-asymmetric_premise,"B has more work than A, so A finds it easier to be at ease than B","['to', 'ease', 'than']"
6-original-asymmetric_conclusion,"A has more work than B, so B finds it easier to be at ease than A","['ease', 'it', 'finds']"
6-negation-original,"A has more work than B, so A does not find it easier to be at ease than B","['more', 'ease', '[MASK]']"
6-negation-asymmetric_premise,"B has more work than A, so A does not find it harder to be at ease than B","['ease', 'than', 'at']"
6-negation-asymmetric_conclusion,"A has more work than B, so B does not find it harder to be at ease than A","['find', 'more', 'than']"
6-antonym-original,"A has more work than B, so A finds it easier to be stressed out than B","['[MASK]', 'finds', 'stressed']"
6-antonym-asymmetric_premise,"B has more work than A, so A finds it harder to be stressed out than B","['than', 'stressed', 'it']"
6-antonym-asymmetric_conclusion,"A has more work than B, so B finds it harder to be stressed out than A","['finds', 'be', 'stressed']"
6-paraphrase-original,"A has more work than B, so A finds it harder to be calm than B","['finds', 'than', '[MASK]', 'calm', 'it']"
6-paraphrase-asymmetric_premise,"B has more work than A, so A finds it easier to be calm than B","['calm', 'to', 'finds']"
6-paraphrase-asymmetric_conclusion,"A has more work than B, so B finds it easier to be calm than A","['calm', '[MASK]', 'finds']"
6-paraphrase_inversion-original,"A has more work than B, so A finds it easier to feel stressed than B","['stressed', 'finds', 'than']"
6-paraphrase_inversion-asymmetric_premise,"B has more work than A, so A finds it harder to feel stressed than B","['stressed', 'finds', '[MASK]', 'than']"
6-paraphrase_inversion-asymmetric_conclusion,"A has more work than B, so B finds it harder to feel stressed than A","['stressed', 'finds', '[MASK]', 'than', 'feel']"
6-negation_antonym-original,"A has more work than B, so A does not find it harder to be stressed out than B","['stressed', 'be']"
6-negation_antonym-asymmetric_premise,"B has more work than A, so A does not find it easier to be stressed out than B","['stressed', 'more']"
6-negation_antonym-asymmetric_conclusion,"A has more work than B, so B does not find it easier to be stressed out than A","['out', 'stressed', '[MASK]']"
6-negation_paraphrase-original,"A has more work than B, so A does not find it easier to be calm than B","['calm', '[MASK]', 'more', 'than']"
6-negation_paraphrase-asymmetric_premise,"B has more work than A, so A does not find it harder to be calm than B","['find', '[MASK]', 'than']"
6-negation_paraphrase-asymmetric_conclusion,"A has more work than B, so B does not find it harder to be calm than A","['calm', 'than', 'more']"
6-negation_paraphrase_inversion-original,"A has more work than B, so A does not find it harder to feel stressed than B","['stressed', 'find', '[MASK]', 'feel', 'than']"
6-negation_paraphrase_inversion-asymmetric_premise,"B has more work than A, so A does not find it easier to feel stressed than B","['[MASK]', 'feel', 'more', 'stressed']"
6-negation_paraphrase_inversion-asymmetric_conclusion,"A has more work than B, so B does not find it easier to feel stressed than A","['stressed', '[MASK]']"
7-original-original,"A has a crush on B, so A finds it harder to be relaxed around B","['finds', 'it', 'relaxed', 'around', 'crush']"
7-original-asymmetric_premise,"B has a crush on A, so A finds it easier to be relaxed around B","['around', 'finds', 'be', 'relaxed']"
7-original-asymmetric_conclusion,"A has a crush on B, so B finds it easier to be relaxed around A","['relaxed', '[MASK]', 'so', 'finds', 'it', 'around']"
7-negation-original,"A has a crush on B, so A does not find it easier to be relaxed around B","['find', 'relaxed', 'not', 'so']"
7-negation-asymmetric_premise,"B has a crush on A, so A does not find it harder to be relaxed around B","['relaxed', 'find']"
7-negation-asymmetric_conclusion,"A has a crush on B, so B does not find it harder to be relaxed around A","['relaxed', 'it', 'find']"
7-antonym-original,"A has a crush on B, so A finds it easier to be awkward around B","['to', 'finds', 'be', 'it', 'awkward', '[MASK]']"
7-antonym-asymmetric_premise,"B has a crush on A, so A finds it harder to be awkward around B","['awkward', 'finds', 'it']"
7-antonym-asymmetric_conclusion,"A has a crush on B, so B finds it harder to be awkward around A","['finds', '[MASK]', 'it', 'awkward']"
7-paraphrase-original,"A has a crush on B, so A finds it harder to be at ease around B","['ease', 'at', 'around', 'crush']"
7-paraphrase-asymmetric_premise,"B has a crush on A, so A finds it easier to be at ease around B","['it', 'crush', 'be', 'ease']"
7-paraphrase-asymmetric_conclusion,"A has a crush on B, so B finds it easier to be at ease around A","['ease', 'finds']"
7-paraphrase_inversion-original,"A has a crush on B, so A feels more awkward around B","['around', 'crush', 'awkward', '[MASK]']"
7-paraphrase_inversion-asymmetric_premise,"B has a crush on A, so A feels less awkward around B","['feels', '[MASK]', 'awkward', 'around']"
7-paraphrase_inversion-asymmetric_conclusion,"A has a crush on B, so B feels less awkward around A","['awkward', '[MASK]', 'around', 'feels']"
7-negation_antonym-original,"A has a crush on B, so A does not find it harder to be awkward around B","['[MASK]', 'find', 'to', 'awkward']"
7-negation_antonym-asymmetric_premise,"B has a crush on A, so A does not find it easier to be awkward around B","['awkward', 'find']"
7-negation_antonym-asymmetric_conclusion,"A has a crush on B, so B does not find it easier to be awkward around A","['find', 'awkward', '[MASK]']"
7-negation_paraphrase-original,"A has a crush on B, so A does not find it easier to be at ease around B","['ease', 'find', '[MASK]']"
7-negation_paraphrase-asymmetric_premise,"B has a crush on A, so A does not find it harder to be at ease around B","['ease', 'find', 'it']"
7-negation_paraphrase-asymmetric_conclusion,"A has a crush on B, so B does not find it harder to be at ease around A","['ease', 'around', 'find', 'not']"
7-negation_paraphrase_inversion-original,"A has a crush on B, so A does not feel less awkward around B","['awkward', 'so', 'does', 'crush', '[MASK]']"
7-negation_paraphrase_inversion-asymmetric_premise,"B has a crush on A, so A does not feel more awkward around B","['awkward', 'feel', 'not', 'crush']"
7-negation_paraphrase_inversion-asymmetric_conclusion,"A has a crush on B, so B does not feel more awkward around A","['awkward', 'feel', '[MASK]', 'crush']"
8-original-original,"A has more dedication than B, so A will have a harder time failing than B","['failing', 'time', '[MASK]']"
8-original-asymmetric_premise,"B has more dedication than A, so A will have a easier time failing than B","['time', 'failing', 'dedication']"
8-original-asymmetric_conclusion,"A has more dedication than B, so B will have a easier time failing than A","['failing', 'time', 'dedication']"
8-negation-original,"A has more dedication than B, so A will not have a easier time failing than B","['failing', 'not', '[MASK]']"
8-negation-asymmetric_premise,"B has more dedication than A, so A will not have a harder time failing than B","['have', 'than', 'time', 'failing']"
8-negation-asymmetric_conclusion,"A has more dedication than B, so B will not have a harder time failing than A","['time', 'failing', 'have']"
8-antonym-original,"A has more dedication than B, so A will have a easier time succeeding than B","['succeeding', 'than', 'time']"
8-antonym-asymmetric_premise,"B has more dedication than A, so A will have a harder time succeeding than B","['succeeding', 'dedication', '[MASK]', 'time']"
8-antonym-asymmetric_conclusion,"A has more dedication than B, so B will have a harder time succeeding than A","['time', 'a']"
8-paraphrase-original,"A has more dedication than B, so A has a worse chance of failure than B","['chance', 'failure', 'has', '[MASK]']"
8-paraphrase-asymmetric_premise,"B has more dedication than A, so A has a better chance of failure than B","['failure', 'than', 'chance']"
8-paraphrase-asymmetric_conclusion,"A has more dedication than B, so B has a better chance of failure than A","['chance', 'dedication', 'so', '[MASK]']"
8-paraphrase_inversion-original,"A has more dedication than B, so A has a better chance to succeed than B","['chance', 'succeed', '[MASK]', 'has', 'than']"
8-paraphrase_inversion-asymmetric_premise,"B has more dedication than A, so A has a worse chance to succeed than B","['succeed', 'has', 'to', '[MASK]']"
8-paraphrase_inversion-asymmetric_conclusion,"A has more dedication than B, so B has a worse chance to succeed than A","['chance', 'succeed', 'more']"
8-negation_antonym-original,"A has more dedication than B, so A will not have a harder time succeeding than B","['succeeding', 'have']"
8-negation_antonym-asymmetric_premise,"B has more dedication than A, so A will not have a easier time succeeding than B","['time', 'succeeding', '[MASK]']"
8-negation_antonym-asymmetric_conclusion,"A has more dedication than B, so B will not have a easier time succeeding than A","['time', 'succeeding', '[MASK]', 'a', 'have']"
8-negation_paraphrase-original,"A has more dedication than B, so A does not have a better chance of failure than B","['[MASK]', 'failure', 'chance', 'than']"
8-negation_paraphrase-asymmetric_premise,"B has more dedication than A, so A does not have a worse chance of failure than B","['[MASK]', 'chance']"
8-negation_paraphrase-asymmetric_conclusion,"A has more dedication than B, so B does not have a worse chance of failure than A","['chance', '[MASK]', 'of', 'does']"
8-negation_paraphrase_inversion-original,"A has more dedication than B, so A does not have a worse chance to succeed than B","['chance', 'a']"
8-negation_paraphrase_inversion-asymmetric_premise,"B has more dedication than A, so A does not have a better chance to succeed than B","['succeed', 'chance', 'to']"
8-negation_paraphrase_inversion-asymmetric_conclusion,"A has more dedication than B, so B does not have a better chance to succeed than A","['chance', 'succeed', 'does']"
9-original-original,"A is B's parent, so A initially takes more care of B","['initially', 'of', 'parent', 'care', 'takes']"
9-original-asymmetric_premise,"B is A's parent, so A initially takes less care of B","['care', 'takes', 'parent', 'initially']"
9-original-asymmetric_conclusion,"A is B's parent, so B initially takes less care of A","['initially', 'takes', 'parent', 'care']"
9-negation-original,"A is B's parent, so A initially does not take less care of B","['of', 'not', '[MASK]']"
9-negation-asymmetric_premise,"B is A's parent, so A initially does not take more care of B","['take', '[MASK]', 'care', 'initially']"
9-negation-asymmetric_conclusion,"A is B's parent, so B initially does not take more care of A","['care', 'take', 'does', 'parent']"
9-antonym-original,"A is B's parent, so A initially takes less assistance from B","['takes', 'assistance', '[MASK]', 'initially']"
9-antonym-asymmetric_premise,"B is A's parent, so A initially takes more assistance from B","['assistance', 'takes', 'initially', 'parent', '[MASK]']"
9-antonym-asymmetric_conclusion,"A is B's parent, so B initially takes more assistance from A","['initially', 'takes', '[MASK]', 'parent']"
9-paraphrase-original,"A is B's parent, so A initially provides more for B","['parent', 'initially', 'provides']"
9-paraphrase-asymmetric_premise,"B is A's parent, so A initially provides less for B","['provides', 'parent', 'so']"
9-paraphrase-asymmetric_conclusion,"A is B's parent, so B initially provides less for A","['provides', 'initially', '[MASK]']"
9-paraphrase_inversion-original,"A is B's parent, so A initially relies less on B","['relies', 'initially']"
9-paraphrase_inversion-asymmetric_premise,"B is A's parent, so A initially relies more on B","['relies', '[MASK]', 'initially', 'on']"
9-paraphrase_inversion-asymmetric_conclusion,"A is B's parent, so B initially relies more on A","['relies', 'initially', '[MASK]']"
9-negation_antonym-original,"A is B's parent, so A initially does not take more assistance from B","['assistance', 'take', 'parent', '[MASK]']"
9-negation_antonym-asymmetric_premise,"B is A's parent, so A initially does not take less assistance from B","['assistance', 'initially', 'parent', 'take']"
9-negation_antonym-asymmetric_conclusion,"A is B's parent, so B initially does not take less assistance from A","['assistance', '[MASK]', 'parent', 'from']"
9-negation_paraphrase-original,"A is B's parent, so A initially does not provide less for B","['provide', 'parent', '[MASK]']"
9-negation_paraphrase-asymmetric_premise,"B is A's parent, so A initially does not provide more for B","['parent', 'provide']"
9-negation_paraphrase-asymmetric_conclusion,"A is B's parent, so B initially does not provide more for A","['initially', 'parent', 'provide']"
9-negation_paraphrase_inversion-original,"A is B's parent, so A initially does not rely more on B","['rely', '[MASK]', 'on']"
9-negation_paraphrase_inversion-asymmetric_premise,"B is A's parent, so A initially does not rely less on B","['rely', '[MASK]', 'does']"
9-negation_paraphrase_inversion-asymmetric_conclusion,"A is B's parent, so B initially does not rely less on A","['[MASK]', 'initially', 'rely', 'on']"
10-original-original,"A is B's doctor, so A takes more care of B","['care', '[MASK]', 'takes']"
