perturbation,sentence,helpful_words
3-original-original,"A is able to concentrate more than B, so A finds it easier to be productive than B",['productive']
3-original-asymmetric_premise,"B is able to concentrate more than A, so A finds it harder to be productive than B","['productive', 'finds']"
3-original-asymmetric_conclusion,"A is able to concentrate more than B, so B finds it harder to be productive than A","['productive', 'able']"
3-negation-original,"A is able to concentrate more than B, so A does not find it harder to be productive than B","['productive', 'find']"
3-negation-asymmetric_premise,"B is able to concentrate more than A, so A does not find it easier to be productive than B",['productive']
3-negation-asymmetric_conclusion,"A is able to concentrate more than B, so B does not find it easier to be productive than A","['productive', 'find']"
3-antonym-original,"A is able to concentrate more than B, so A finds it harder to be unproductive than B","['finds', '[MASK]']"
3-antonym-asymmetric_premise,"B is able to concentrate more than A, so A finds it easier to be unproductive than B",['##uctive']
3-antonym-asymmetric_conclusion,"A is able to concentrate more than B, so B finds it easier to be unproductive than A","['finds', '##uctive', 'be']"
3-paraphrase-original,"A is able to concentrate more than B, so A has a better ability to work than B","['ability', 'concentrate']"
3-paraphrase-asymmetric_premise,"B is able to concentrate more than A, so A has a worse ability to work than B",['ability']
3-paraphrase-asymmetric_conclusion,"A is able to concentrate more than B, so B has a worse ability to work than A","['ability', 'has', 'work', '[MASK]']"
3-paraphrase_inversion-original,"A is able to concentrate more than B, so A wastes less time than B",['waste']
3-paraphrase_inversion-asymmetric_premise,"B is able to concentrate more than A, so A wastes more time than B","['waste', 'time']"
3-paraphrase_inversion-asymmetric_conclusion,"A is able to concentrate more than B, so B wastes more time than A",['waste']
3-negation_antonym-original,"A is able to concentrate more than B, so A does not find it easier to be unproductive than B",['##uctive']
3-negation_antonym-asymmetric_premise,"B is able to concentrate more than A, so A does not find it harder to be unproductive than B",['##uctive']
3-negation_antonym-asymmetric_conclusion,"A is able to concentrate more than B, so B does not find it harder to be unproductive than A","['##uctive', 'find']"
3-negation_paraphrase-original,"A is able to concentrate more than B, so A does not have a worse ability to work than B","['work', 'concentrate']"
3-negation_paraphrase-asymmetric_premise,"B is able to concentrate more than A, so A does not have a better ability to work than B","['concentrate', 'ability']"
3-negation_paraphrase-asymmetric_conclusion,"A is able to concentrate more than B, so B does not have a better ability to work than A","['ability', 'concentrate']"
3-negation_paraphrase_inversion-original,"A is able to concentrate more than B, so A does not waste more time than B","['time', 'waste', 'than']"
3-negation_paraphrase_inversion-asymmetric_premise,"B is able to concentrate more than A, so A does not waste less time than B",[]
3-negation_paraphrase_inversion-asymmetric_conclusion,"A is able to concentrate more than B, so B does not waste less time than A","['[MASK]', 'than']"
4-original-original,"A bullies people while B does not, so A is less kind than B",['kind']
4-original-asymmetric_premise,"B bullies people while A does not, so A is more kind than B","['kind', 'than']"
4-original-asymmetric_conclusion,"A bullies people while B does not, so B is more kind than A","['kind', 'than']"
4-negation-original,"A bullies people while B does not, so A isn't more kind than B","['kind', 'than', 't']"
4-negation-asymmetric_premise,"B bullies people while A does not, so A isn't less kind than B","['kind', '[MASK]', 'than']"
4-negation-asymmetric_conclusion,"A bullies people while B does not, so B isn't less kind than A","['kind', 'than']"
4-antonym-original,"A bullies people while B does not, so A is more mean than B",['mean']
4-antonym-asymmetric_premise,"B bullies people while A does not, so A is less mean than B",['mean']
4-antonym-asymmetric_conclusion,"A bullies people while B does not, so B is less mean than A","['mean', 'than']"
4-paraphrase-original,"A bullies people while B does not, so A cares less about people than B","['[MASK]', 'bull', 'cares']"
4-paraphrase-asymmetric_premise,"B bullies people while A does not, so A cares more about people than B","['cares', 'than']"
4-paraphrase-asymmetric_conclusion,"A bullies people while B does not, so B cares more about people than A","['cares', 'about']"
4-paraphrase_inversion-original,"A bullies people while B does not, so A is a more cruel person than B",[]
4-paraphrase_inversion-asymmetric_premise,"B bullies people while A does not, so A is a less cruel person than B",['cruel']
4-paraphrase_inversion-asymmetric_conclusion,"A bullies people while B does not, so B is a less cruel person than A","['cruel', 'person']"
4-negation_antonym-original,"A bullies people while B does not, so A isn't less mean than B",['mean']
4-negation_antonym-asymmetric_premise,"B bullies people while A does not, so A isn't more mean than B","['than', 'mean']"
4-negation_antonym-asymmetric_conclusion,"A bullies people while B does not, so B isn't more mean than A",['than']
4-negation_paraphrase-original,"A bullies people while B does not, so A does not care more about people than B","['care', 'about']"
4-negation_paraphrase-asymmetric_premise,"B bullies people while A does not, so A does not care less about people than B","['care', '[MASK]']"
4-negation_paraphrase-asymmetric_conclusion,"A bullies people while B does not, so B does not care less about people than A",['care']
4-negation_paraphrase_inversion-original,"A bullies people while B does not, so A isn't a less cruel person than B",['cruel']
4-negation_paraphrase_inversion-asymmetric_premise,"B bullies people while A does not, so A isn't a more cruel person than B","['cruel', 'than']"
4-negation_paraphrase_inversion-asymmetric_conclusion,"A bullies people while B does not, so B isn't a more cruel person than A",['cruel']
5-original-original,"A is B's boss, so A commands more respect than B","['commands', 'so', 'respect']"
5-original-asymmetric_premise,"B is A's boss, so A commands less respect than B","['respect', 'commands']"
5-original-asymmetric_conclusion,"A is B's boss, so B commands less respect than A","['than', 'respect', 'commands']"
5-negation-original,"A is B's boss, so A does not command less respect than B","['command', 'respect', '[MASK]']"
5-negation-asymmetric_premise,"B is A's boss, so A does not command more respect than B","['respect', 'command', 'than']"
5-negation-asymmetric_conclusion,"A is B's boss, so B does not command more respect than A",['command']
5-antonym-original,"A is B's boss, so A commands less disrespect than B","['commands', 'than', '##pect']"
5-antonym-asymmetric_premise,"B is A's boss, so A commands more disrespect than B","['commands', '##res']"
5-antonym-asymmetric_conclusion,"A is B's boss, so B commands more disrespect than A","['commands', '##pect']"
5-paraphrase-original,"A is B's boss, so A has earned more respect than B","['earned', 'respect']"
5-paraphrase-asymmetric_premise,"B is A's boss, so A has earned less respect than B","['respect', '[MASK]', 'earned']"
5-paraphrase-asymmetric_conclusion,"A is B's boss, so B has earned less respect than A","['earned', 'respect']"
5-paraphrase_inversion-original,"A is B's boss, so A should be disrespected less than B",['##pect']
5-paraphrase_inversion-asymmetric_premise,"B is A's boss, so A should be disrespected more than B",['##pect']
5-paraphrase_inversion-asymmetric_conclusion,"A is B's boss, so B should be disrespected more than A",['than']
5-negation_antonym-original,"A is B's boss, so A does not command more disrespect than B",['command']
5-negation_antonym-asymmetric_premise,"B is A's boss, so A does not command less disrespect than B",['command']
5-negation_antonym-asymmetric_conclusion,"A is B's boss, so B does not command less disrespect than A",['##pect']
5-negation_paraphrase-original,"A is B's boss, so A has not earned less respect than B","['respect', 'than', 'earned']"
5-negation_paraphrase-asymmetric_premise,"B is A's boss, so A has not earned more respect than B","['earned', 'respect', 'not']"
5-negation_paraphrase-asymmetric_conclusion,"A is B's boss, so B has not earned more respect than A","['respect', '[MASK]', 'earned']"
5-negation_paraphrase_inversion-original,"A is B's boss, so A should not be disrespected more than B",['than']
5-negation_paraphrase_inversion-asymmetric_premise,"B is A's boss, so A should not be disrespected less than B","['than', '##pect']"
5-negation_paraphrase_inversion-asymmetric_conclusion,"A is B's boss, so B should not be disrespected less than A","['##res', 'should', '[MASK]']"
6-original-original,"A has more work than B, so A finds it harder to be at ease than B","['finds', 'ease']"
6-original-asymmetric_premise,"B has more work than A, so A finds it easier to be at ease than B","['ease', 'than']"
6-original-asymmetric_conclusion,"A has more work than B, so B finds it easier to be at ease than A","['ease', 'finds']"
6-negation-original,"A has more work than B, so A does not find it easier to be at ease than B","['ease', '[MASK]']"
6-negation-asymmetric_premise,"B has more work than A, so A does not find it harder to be at ease than B",['ease']
6-negation-asymmetric_conclusion,"A has more work than B, so B does not find it harder to be at ease than A",['more']
6-antonym-original,"A has more work than B, so A finds it easier to be stressed out than B",['stressed']
6-antonym-asymmetric_premise,"B has more work than A, so A finds it harder to be stressed out than B",['stressed']
6-antonym-asymmetric_conclusion,"A has more work than B, so B finds it harder to be stressed out than A","['finds', 'be', 'stressed']"
6-paraphrase-original,"A has more work than B, so A finds it harder to be calm than B","['finds', 'calm']"
6-paraphrase-asymmetric_premise,"B has more work than A, so A finds it easier to be calm than B","['calm', 'finds']"
6-paraphrase-asymmetric_conclusion,"A has more work than B, so B finds it easier to be calm than A","['[MASK]', 'finds']"
6-paraphrase_inversion-original,"A has more work than B, so A finds it easier to feel stressed than B",['stressed']
6-paraphrase_inversion-asymmetric_premise,"B has more work than A, so A finds it harder to feel stressed than B","['stressed', 'than']"
6-paraphrase_inversion-asymmetric_conclusion,"A has more work than B, so B finds it harder to feel stressed than A",['finds']
6-negation_antonym-original,"A has more work than B, so A does not find it harder to be stressed out than B",['stressed']
6-negation_antonym-asymmetric_premise,"B has more work than A, so A does not find it easier to be stressed out than B","['stressed', 'more']"
6-negation_antonym-asymmetric_conclusion,"A has more work than B, so B does not find it easier to be stressed out than A",[]
6-negation_paraphrase-original,"A has more work than B, so A does not find it easier to be calm than B","['calm', '[MASK]']"
6-negation_paraphrase-asymmetric_premise,"B has more work than A, so A does not find it harder to be calm than B","['find', '[MASK]']"
6-negation_paraphrase-asymmetric_conclusion,"A has more work than B, so B does not find it harder to be calm than A","['calm', 'than', 'more']"
6-negation_paraphrase_inversion-original,"A has more work than B, so A does not find it harder to feel stressed than B",['stressed']
6-negation_paraphrase_inversion-asymmetric_premise,"B has more work than A, so A does not find it easier to feel stressed than B","['[MASK]', 'feel']"
6-negation_paraphrase_inversion-asymmetric_conclusion,"A has more work than B, so B does not find it easier to feel stressed than A",['[MASK]']
7-original-original,"A has a crush on B, so A finds it harder to be relaxed around B","['finds', 'relaxed']"
7-original-asymmetric_premise,"B has a crush on A, so A finds it easier to be relaxed around B","['around', 'finds', 'relaxed']"
7-original-asymmetric_conclusion,"A has a crush on B, so B finds it easier to be relaxed around A","['relaxed', 'finds']"
7-negation-original,"A has a crush on B, so A does not find it easier to be relaxed around B","['find', 'relaxed']"
7-negation-asymmetric_premise,"B has a crush on A, so A does not find it harder to be relaxed around B",['relaxed']
7-negation-asymmetric_conclusion,"A has a crush on B, so B does not find it harder to be relaxed around A","['relaxed', 'it']"
7-antonym-original,"A has a crush on B, so A finds it easier to be awkward around B",['awkward']
7-antonym-asymmetric_premise,"B has a crush on A, so A finds it harder to be awkward around B","['awkward', 'finds']"
7-antonym-asymmetric_conclusion,"A has a crush on B, so B finds it harder to be awkward around A",['finds']
7-paraphrase-original,"A has a crush on B, so A finds it harder to be at ease around B","['ease', 'at']"
7-paraphrase-asymmetric_premise,"B has a crush on A, so A finds it easier to be at ease around B","['it', 'ease']"
7-paraphrase-asymmetric_conclusion,"A has a crush on B, so B finds it easier to be at ease around A",['finds']
7-paraphrase_inversion-original,"A has a crush on B, so A feels more awkward around B","['around', 'awkward', '[MASK]']"
7-paraphrase_inversion-asymmetric_premise,"B has a crush on A, so A feels less awkward around B","['[MASK]', 'awkward']"
7-paraphrase_inversion-asymmetric_conclusion,"A has a crush on B, so B feels less awkward around A","['awkward', 'feels']"
7-negation_antonym-original,"A has a crush on B, so A does not find it harder to be awkward around B","['[MASK]', 'find']"
7-negation_antonym-asymmetric_premise,"B has a crush on A, so A does not find it easier to be awkward around B",['awkward']
7-negation_antonym-asymmetric_conclusion,"A has a crush on B, so B does not find it easier to be awkward around A","['find', 'awkward']"
7-negation_paraphrase-original,"A has a crush on B, so A does not find it easier to be at ease around B",['find']
7-negation_paraphrase-asymmetric_premise,"B has a crush on A, so A does not find it harder to be at ease around B",['ease']
7-negation_paraphrase-asymmetric_conclusion,"A has a crush on B, so B does not find it harder to be at ease around A","['find', 'ease']"
7-negation_paraphrase_inversion-original,"A has a crush on B, so A does not feel less awkward around B","['awkward', 'so']"
7-negation_paraphrase_inversion-asymmetric_premise,"B has a crush on A, so A does not feel more awkward around B","['awkward', 'feel']"
7-negation_paraphrase_inversion-asymmetric_conclusion,"A has a crush on B, so B does not feel more awkward around A","['feel', '[MASK]']"
8-original-original,"A has more dedication than B, so A will have a harder time failing than B","['failing', 'time']"
8-original-asymmetric_premise,"B has more dedication than A, so A will have a easier time failing than B","['time', 'failing']"
8-original-asymmetric_conclusion,"A has more dedication than B, so B will have a easier time failing than A","['failing', 'time']"
8-negation-original,"A has more dedication than B, so A will not have a easier time failing than B","['failing', '[MASK]']"
8-negation-asymmetric_premise,"B has more dedication than A, so A will not have a harder time failing than B","['have', 'time']"
8-negation-asymmetric_conclusion,"A has more dedication than B, so B will not have a harder time failing than A","['time', 'have', 'failing']"
8-antonym-original,"A has more dedication than B, so A will have a easier time succeeding than B","['succeeding', 'than']"
8-antonym-asymmetric_premise,"B has more dedication than A, so A will have a harder time succeeding than B",['succeeding']
8-antonym-asymmetric_conclusion,"A has more dedication than B, so B will have a harder time succeeding than A",['time']
8-paraphrase-original,"A has more dedication than B, so A has a worse chance of failure than B","['chance', 'failure']"
8-paraphrase-asymmetric_premise,"B has more dedication than A, so A has a better chance of failure than B","['failure', 'chance']"
8-paraphrase-asymmetric_conclusion,"A has more dedication than B, so B has a better chance of failure than A","['chance', 'dedication']"
8-paraphrase_inversion-original,"A has more dedication than B, so A has a better chance to succeed than B","['chance', 'succeed']"
8-paraphrase_inversion-asymmetric_premise,"B has more dedication than A, so A has a worse chance to succeed than B",['has']
8-paraphrase_inversion-asymmetric_conclusion,"A has more dedication than B, so B has a worse chance to succeed than A",['chance']
8-negation_antonym-original,"A has more dedication than B, so A will not have a harder time succeeding than B",['succeeding']
8-negation_antonym-asymmetric_premise,"B has more dedication than A, so A will not have a easier time succeeding than B","['time', 'succeeding']"
8-negation_antonym-asymmetric_conclusion,"A has more dedication than B, so B will not have a easier time succeeding than A","['time', 'succeeding', '[MASK]']"
8-negation_paraphrase-original,"A has more dedication than B, so A does not have a better chance of failure than B","['failure', 'chance', 'than']"
8-negation_paraphrase-asymmetric_premise,"B has more dedication than A, so A does not have a worse chance of failure than B","['[MASK]', 'chance']"
8-negation_paraphrase-asymmetric_conclusion,"A has more dedication than B, so B does not have a worse chance of failure than A","['chance', '[MASK]']"
8-negation_paraphrase_inversion-original,"A has more dedication than B, so A does not have a worse chance to succeed than B",['chance']
8-negation_paraphrase_inversion-asymmetric_premise,"B has more dedication than A, so A does not have a better chance to succeed than B","['succeed', 'chance', 'to']"
8-negation_paraphrase_inversion-asymmetric_conclusion,"A has more dedication than B, so B does not have a better chance to succeed than A","['chance', 'succeed']"
9-original-original,"A is B's parent, so A initially takes more care of B","['initially', 'care', 'takes']"
9-original-asymmetric_premise,"B is A's parent, so A initially takes less care of B","['care', 'takes', 'initially']"
9-original-asymmetric_conclusion,"A is B's parent, so B initially takes less care of A","['initially', 'care', 'takes']"
9-negation-original,"A is B's parent, so A initially does not take less care of B",['of']
9-negation-asymmetric_premise,"B is A's parent, so A initially does not take more care of B","['[MASK]', 'care']"
9-negation-asymmetric_conclusion,"A is B's parent, so B initially does not take more care of A","['care', 'take']"
9-antonym-original,"A is B's parent, so A initially takes less assistance from B","['takes', 'assistance']"
9-antonym-asymmetric_premise,"B is A's parent, so A initially takes more assistance from B","['assistance', 'takes']"
9-antonym-asymmetric_conclusion,"A is B's parent, so B initially takes more assistance from A","['initially', 'parent']"
9-paraphrase-original,"A is B's parent, so A initially provides more for B",['parent']
9-paraphrase-asymmetric_premise,"B is A's parent, so A initially provides less for B",['provides']
9-paraphrase-asymmetric_conclusion,"A is B's parent, so B initially provides less for A","['provides', 'initially']"
9-paraphrase_inversion-original,"A is B's parent, so A initially relies less on B","['relies', 'initially']"
9-paraphrase_inversion-asymmetric_premise,"B is A's parent, so A initially relies more on B","['relies', '[MASK]', 'on']"
9-paraphrase_inversion-asymmetric_conclusion,"A is B's parent, so B initially relies more on A","['relies', '[MASK]']"
9-negation_antonym-original,"A is B's parent, so A initially does not take more assistance from B","['assistance', 'take']"
9-negation_antonym-asymmetric_premise,"B is A's parent, so A initially does not take less assistance from B","['assistance', 'initially']"
9-negation_antonym-asymmetric_conclusion,"A is B's parent, so B initially does not take less assistance from A","['assistance', '[MASK]', 'from']"
9-negation_paraphrase-original,"A is B's parent, so A initially does not provide less for B","['provide', 'parent']"
9-negation_paraphrase-asymmetric_premise,"B is A's parent, so A initially does not provide more for B","['parent', 'provide']"
9-negation_paraphrase-asymmetric_conclusion,"A is B's parent, so B initially does not provide more for A",['provide']
9-negation_paraphrase_inversion-original,"A is B's parent, so A initially does not rely more on B","['rely', '[MASK]', 'on']"
9-negation_paraphrase_inversion-asymmetric_premise,"B is A's parent, so A initially does not rely less on B","['rely', '[MASK]']"
9-negation_paraphrase_inversion-asymmetric_conclusion,"A is B's parent, so B initially does not rely less on A","['[MASK]', 'initially', 'rely']"
10-original-original,"A is B's doctor, so A takes more care of B",['care']
10-original-asymmetric_premise,"B is A's doctor, so A takes less care of B","['care', 'doctor', 'takes']"
10-original-asymmetric_conclusion,"A is B's doctor, so B takes less care of A","['takes', 'care', 'of']"
10-negation-original,"A is B's doctor, so A does not take less care of B","['take', 'care', 'doctor']"
10-negation-asymmetric_premise,"B is A's doctor, so A does not take more care of B",['care']
10-negation-asymmetric_conclusion,"A is B's doctor, so B does not take more care of A","['care', '[MASK]']"
10-antonym-original,"A is B's doctor, so A takes less assistance from B","['assistance', 'takes', 'doctor']"
10-antonym-asymmetric_premise,"B is A's doctor, so A takes more assistance from B","['[MASK]', 'assistance']"
10-antonym-asymmetric_conclusion,"A is B's doctor, so B takes more assistance from A",['assistance']
10-paraphrase-original,"A is B's doctor, so A provides more assistance towards B","['assistance', 'provides', 'doctor', 'towards']"
10-paraphrase-asymmetric_premise,"B is A's doctor, so A provides less assistance towards B","['provides', 'assistance', 'doctor']"
10-paraphrase-asymmetric_conclusion,"A is B's doctor, so B provides less assistance towards A","['assistance', 'provides', 'doctor']"
10-paraphrase_inversion-original,"A is B's doctor, so A requires less medical aid from B","['aid', 'medical', 'requires']"
10-paraphrase_inversion-asymmetric_premise,"B is A's doctor, so A requires more medical aid from B","['requires', 'medical', 'aid']"
10-paraphrase_inversion-asymmetric_conclusion,"A is B's doctor, so B requires more medical aid from A","['aid', 'doctor']"
10-negation_antonym-original,"A is B's doctor, so A does not take more assistance from B","['assistance', 'from']"
10-negation_antonym-asymmetric_premise,"B is A's doctor, so A does not take less assistance from B","['[MASK]', 'take']"
10-negation_antonym-asymmetric_conclusion,"A is B's doctor, so B does not take less assistance from A",['assistance']
10-negation_paraphrase-original,"A is B's doctor, so A does not provide less assistance towards B","['towards', 'provide', 'assistance']"
10-negation_paraphrase-asymmetric_premise,"B is A's doctor, so A does not provide more assistance towards B","['assistance', 'provide', 'towards']"
10-negation_paraphrase-asymmetric_conclusion,"A is B's doctor, so B does not provide more assistance towards A","['doctor', 'assistance']"
10-negation_paraphrase_inversion-original,"A is B's doctor, so A does not require more medical aid from B","['medical', 'aid']"
10-negation_paraphrase_inversion-asymmetric_premise,"B is A's doctor, so A does not require less medical aid from B","['aid', 'medical']"
10-negation_paraphrase_inversion-asymmetric_conclusion,"A is B's doctor, so B does not require less medical aid from A","['require', 'medical']"
11-original-original,"A hurt B's feelings, so A must be more insensitive than B","['##itive', 'be']"
11-original-asymmetric_premise,"B hurt A's feelings, so A must be less insensitive than B","['ins', 'must']"
11-original-asymmetric_conclusion,"A hurt B's feelings, so B must be less insensitive than A",['than']
11-negation-original,"A hurt B's feelings, so A must not be less insensitive than B",['than']
11-negation-asymmetric_premise,"B hurt A's feelings, so A must not be more insensitive than B","['than', 'must']"
11-negation-asymmetric_conclusion,"A hurt B's feelings, so B must not be more insensitive than A",['##itive']
11-antonym-original,"A hurt B's feelings, so A must be less thoughtful than B","['thoughtful', 'than']"
11-antonym-asymmetric_premise,"B hurt A's feelings, so A must be more thoughtful than B","['thoughtful', 'than']"
11-antonym-asymmetric_conclusion,"A hurt B's feelings, so B must be more thoughtful than A","['thoughtful', '[MASK]']"
11-paraphrase-original,"A hurt B's feelings, so A should be more selfish than B","['selfish', 'should', 'than']"
11-paraphrase-asymmetric_premise,"B hurt A's feelings, so A should be less selfish than B","['selfish', 'should']"
11-paraphrase-asymmetric_conclusion,"A hurt B's feelings, so B should be less selfish than A","['selfish', 'should', 'than']"
11-paraphrase_inversion-original,"A hurt B's feelings, so A is less caring than B","['caring', 'than', 'is']"
11-paraphrase_inversion-asymmetric_premise,"B hurt A's feelings, so A is more caring than B","['caring', '[MASK]']"
11-paraphrase_inversion-asymmetric_conclusion,"A hurt B's feelings, so B is more caring than A","['caring', 'than']"
