set_number,perturbation,asym_perturbs,avg_accuracy_score
12,paraphrase_inversion,asymmetric_conclusion,0.0
12,negation_antonym,original,0.0
12,negation_antonym,asymmetric_premise,0.0
12,negation_antonym,asymmetric_conclusion,0.0
12,negation_paraphrase,original,0.0
12,negation_paraphrase,asymmetric_premise,0.0
12,negation_paraphrase,asymmetric_conclusion,0.0
12,negation_paraphrase_inversion,original,0.0
12,negation_paraphrase_inversion,asymmetric_premise,0.0
12,negation_paraphrase_inversion,asymmetric_conclusion,0.0
13,original,original,0.0
13,original,asymmetric_premise,0.0
13,original,asymmetric_conclusion,0.0
13,negation,original,0.0
13,negation,asymmetric_premise,0.0
13,negation,asymmetric_conclusion,0.0
13,antonym,original,0.0
13,antonym,asymmetric_premise,0.0
13,antonym,asymmetric_conclusion,0.0
13,paraphrase,original,0.0
13,paraphrase,asymmetric_premise,0.0
13,paraphrase,asymmetric_conclusion,0.0
13,paraphrase_inversion,original,0.0
13,paraphrase_inversion,asymmetric_premise,0.0
13,paraphrase_inversion,asymmetric_conclusion,0.0
13,negation_antonym,original,0.0
13,negation_antonym,asymmetric_premise,0.0
13,negation_antonym,asymmetric_conclusion,0.0
13,negation_paraphrase,original,0.0
13,negation_paraphrase,asymmetric_premise,0.0
13,negation_paraphrase,asymmetric_conclusion,0.0
13,negation_paraphrase_inversion,original,0.0
13,negation_paraphrase_inversion,asymmetric_premise,0.0
13,negation_paraphrase_inversion,asymmetric_conclusion,0.0
14,original,original,0.0
14,original,asymmetric_premise,0.0
14,original,asymmetric_conclusion,0.0
14,negation,original,0.0
14,negation,asymmetric_premise,0.0
14,negation,asymmetric_conclusion,0.0
14,antonym,original,0.0
14,antonym,asymmetric_premise,0.0
14,antonym,asymmetric_conclusion,0.0
14,paraphrase,original,0.0
14,paraphrase,asymmetric_premise,0.0
14,paraphrase,asymmetric_conclusion,0.0
14,paraphrase_inversion,original,0.0
14,paraphrase_inversion,asymmetric_premise,0.0
14,paraphrase_inversion,asymmetric_conclusion,0.0
14,negation_antonym,original,0.0
14,negation_antonym,asymmetric_premise,0.0
14,negation_antonym,asymmetric_conclusion,0.0
14,negation_paraphrase,original,0.0
14,negation_paraphrase,asymmetric_premise,0.0
14,negation_paraphrase,asymmetric_conclusion,0.0
14,negation_paraphrase_inversion,original,0.0
14,negation_paraphrase_inversion,asymmetric_premise,0.0
14,negation_paraphrase_inversion,asymmetric_conclusion,0.0
15,original,original,0.0
15,original,asymmetric_premise,0.0
15,original,asymmetric_conclusion,0.0
15,negation,original,0.0
15,negation,asymmetric_premise,0.0
15,negation,asymmetric_conclusion,0.0
15,antonym,original,0.0
15,antonym,asymmetric_premise,0.0
15,antonym,asymmetric_conclusion,0.0
15,paraphrase,original,0.0
15,paraphrase,asymmetric_premise,0.0
15,paraphrase,asymmetric_conclusion,0.0
15,paraphrase_inversion,original,0.0
15,paraphrase_inversion,asymmetric_premise,0.0
15,paraphrase_inversion,asymmetric_conclusion,0.0
15,negation_antonym,original,0.0
15,negation_antonym,asymmetric_premise,0.0
15,negation_antonym,asymmetric_conclusion,0.0
15,negation_paraphrase,original,0.0
15,negation_paraphrase,asymmetric_premise,0.0
15,negation_paraphrase,asymmetric_conclusion,0.0
15,negation_paraphrase_inversion,original,0.0
15,negation_paraphrase_inversion,asymmetric_premise,0.0
15,negation_paraphrase_inversion,asymmetric_conclusion,0.0
16,original,original,0.0
16,original,asymmetric_premise,0.0
16,original,asymmetric_conclusion,0.0
16,negation,original,0.0
16,negation,asymmetric_premise,0.0
16,negation,asymmetric_conclusion,0.0
16,antonym,original,0.0
16,antonym,asymmetric_premise,0.0
16,antonym,asymmetric_conclusion,0.0
16,paraphrase,original,0.0
16,paraphrase,asymmetric_premise,0.0
16,paraphrase,asymmetric_conclusion,0.0
16,paraphrase_inversion,original,0.0
16,paraphrase_inversion,asymmetric_premise,0.0
16,paraphrase_inversion,asymmetric_conclusion,0.0
16,negation_antonym,original,0.0
16,negation_antonym,asymmetric_premise,0.0
16,negation_antonym,asymmetric_conclusion,0.0
16,negation_paraphrase,original,0.0
16,negation_paraphrase,asymmetric_premise,0.0
16,negation_paraphrase,asymmetric_conclusion,0.0
16,negation_paraphrase_inversion,original,0.0
16,negation_paraphrase_inversion,asymmetric_premise,0.0
16,negation_paraphrase_inversion,asymmetric_conclusion,0.0
17,original,original,0.0
17,original,asymmetric_premise,0.0
17,original,asymmetric_conclusion,0.0
17,negation,original,0.0
17,negation,asymmetric_premise,0.0
17,negation,asymmetric_conclusion,0.0
17,antonym,original,0.0
17,antonym,asymmetric_premise,0.0
17,antonym,asymmetric_conclusion,0.0
17,paraphrase,original,0.0
17,paraphrase,asymmetric_premise,0.0
17,paraphrase,asymmetric_conclusion,0.0
17,paraphrase_inversion,original,0.0
17,paraphrase_inversion,asymmetric_premise,0.0
17,paraphrase_inversion,asymmetric_conclusion,0.0
17,negation_antonym,original,0.0
17,negation_antonym,asymmetric_premise,0.0
17,negation_antonym,asymmetric_conclusion,0.0
17,negation_paraphrase,original,0.0
17,negation_paraphrase,asymmetric_premise,0.0
17,negation_paraphrase,asymmetric_conclusion,0.0
17,negation_paraphrase_inversion,original,0.0
17,negation_paraphrase_inversion,asymmetric_premise,0.0
17,negation_paraphrase_inversion,asymmetric_conclusion,0.0
18,original,original,0.0
18,original,asymmetric_premise,0.0
18,original,asymmetric_conclusion,0.0
18,negation,original,0.0
18,negation,asymmetric_premise,0.0
18,negation,asymmetric_conclusion,0.0
18,antonym,original,0.0
18,antonym,asymmetric_premise,0.0
18,antonym,asymmetric_conclusion,0.0
18,paraphrase,original,0.0
18,paraphrase,asymmetric_premise,0.0
18,paraphrase,asymmetric_conclusion,0.0
18,paraphrase_inversion,original,0.0
18,paraphrase_inversion,asymmetric_premise,0.0
18,paraphrase_inversion,asymmetric_conclusion,0.0
18,negation_antonym,original,0.0
18,negation_antonym,asymmetric_premise,0.0
18,negation_antonym,asymmetric_conclusion,0.0
18,negation_paraphrase,original,0.0
18,negation_paraphrase,asymmetric_premise,0.0
18,negation_paraphrase,asymmetric_conclusion,0.0
18,negation_paraphrase_inversion,original,0.0
18,negation_paraphrase_inversion,asymmetric_premise,0.0
18,negation_paraphrase_inversion,asymmetric_conclusion,0.0
19,original,original,0.0
19,original,asymmetric_premise,0.0
19,original,asymmetric_conclusion,0.0
19,negation,original,0.0
19,negation,asymmetric_premise,0.0
19,negation,asymmetric_conclusion,0.0
19,antonym,original,0.0
19,antonym,asymmetric_premise,0.0
19,antonym,asymmetric_conclusion,0.0
19,paraphrase,original,0.0
19,paraphrase,asymmetric_premise,0.0
19,paraphrase,asymmetric_conclusion,0.0
19,paraphrase_inversion,original,0.0
19,paraphrase_inversion,asymmetric_premise,0.0
19,paraphrase_inversion,asymmetric_conclusion,0.0
19,negation_antonym,original,0.0
19,negation_antonym,asymmetric_premise,0.0
19,negation_antonym,asymmetric_conclusion,0.0
19,negation_paraphrase,original,0.0
19,negation_paraphrase,asymmetric_premise,0.0
19,negation_paraphrase,asymmetric_conclusion,0.0
19,negation_paraphrase_inversion,original,0.0
19,negation_paraphrase_inversion,asymmetric_premise,0.0
19,negation_paraphrase_inversion,asymmetric_conclusion,0.0
