material_1,material_2,property comparison,material_1 token,material_2 token,property token
glass,gas,more empty,[1846],[3938],"[725, 2203]"
glass,one type of food,more empty,[1846],"[566, 3594, 498, 2044]","[725, 2203]"
glass,metal,more empty,[1846],[2817],"[725, 2203]"
glass,sand,more empty,[1846],[4062],"[725, 2203]"
glass,matter,more empty,[1846],[1621],"[725, 2203]"
concrete,glass,more opaque,[5721],[1846],"[725, 21967]"
concrete,plastic,more opaque,[5721],[4438],"[725, 21967]"
concrete,metal,more opaque,[5721],[2817],"[725, 21967]"
concrete,wood,more opaque,[5721],[2510],"[725, 21967]"
concrete,water,more opaque,[5721],[1353],"[725, 21967]"
concrete,silicon,more opaque,[5721],[36980],"[725, 21967]"
concrete,material,more opaque,[5721],[5491],"[725, 21967]"
concrete,steel,more opaque,[5721],[4085],"[725, 21967]"
concrete,crystal,more opaque,[5721],[5334],"[725, 21967]"
concrete,transparent glass,more opaque,[5721],"[13070, 1846]","[725, 21967]"
concrete,polymer,more opaque,[5721],"[14444, 3450]","[725, 21967]"
concrete,sand,more opaque,[5721],[4062],"[725, 21967]"
concrete,carbon,more opaque,[5721],[19885],"[725, 21967]"
concrete,liquid,more opaque,[5721],[5379],"[725, 21967]"
concrete,rubber,more opaque,[5721],[8999],"[725, 21967]"
concrete,clay,more opaque,[5721],[5538],"[725, 21967]"
concrete,paper,more opaque,[5721],[2405],"[725, 21967]"
concrete,ceramic,more opaque,[5721],[19471],"[725, 21967]"
metal,electron,more heavy,[2817],"[7913, 504]","[725, 2262]"
metal,hydrogen and oxygen,more heavy,[2817],"[26696, 488, 9637]","[725, 2262]"
metal,energy,more heavy,[2817],[2940],"[725, 2262]"
metal,particle,more heavy,[2817],[24757],"[725, 2262]"
metal,carbon,more heavy,[2817],[19885],"[725, 2262]"
metal,light,more heavy,[2817],[1092],"[725, 2262]"
metal,electricity,more heavy,[2817],[8120],"[725, 2262]"
metal,silicon,more heavy,[2817],[36980],"[725, 2262]"
metal,wavelength,more heavy,[2817],"[37117, 663]","[725, 2262]"
metal,water,more heavy,[2817],[1353],"[725, 2262]"
metal,glass,more opaque,[2817],[1846],"[725, 21967]"
metal,plastic,more opaque,[2817],[4438],"[725, 21967]"
metal,metal,more opaque,[2817],[2817],"[725, 21967]"
metal,wood,more opaque,[2817],[2510],"[725, 21967]"
metal,water,more opaque,[2817],[1353],"[725, 21967]"
metal,silicon,more opaque,[2817],[36980],"[725, 21967]"
metal,material,more opaque,[2817],[5491],"[725, 21967]"
metal,steel,more opaque,[2817],[4085],"[725, 21967]"
metal,crystal,more opaque,[2817],[5334],"[725, 21967]"
metal,transparent glass,more opaque,[2817],"[13070, 1846]","[725, 21967]"
metal,polymer,more opaque,[2817],"[14444, 3450]","[725, 21967]"
metal,sand,more opaque,[2817],[4062],"[725, 21967]"
metal,silicon and carbon dioxide,more opaque,[2817],"[36980, 488, 19885, 592, 26691]","[725, 21967]"
metal,carbon,more opaque,[2817],[19885],"[725, 21967]"
metal,liquid,more opaque,[2817],[5379],"[725, 21967]"
metal,rubber,more opaque,[2817],[8999],"[725, 21967]"
metal,clay,more opaque,[2817],[5538],"[725, 21967]"
metal,paper,more opaque,[2817],[2405],"[725, 21967]"
metal,ceramic and plastic,more opaque,[2817],"[19471, 488, 4438]","[725, 21967]"
